# step wm_danger det_logit danger fire dist_t dx dy yaw tbrg offaxis
277 -2.8167 -0.3221 0 0.0000 8.986 8.91 1.24 3.14 -3.04 0.10
278 -2.8016 -0.3149 0 0.0000 8.985 8.91 1.24 3.14 -3.04 0.10
279 -2.7746 -0.3147 0 0.0000 8.985 8.91 1.24 3.14 -3.04 0.10
280 -2.7334 -0.3042 0 0.0000 8.985 8.91 1.24 3.14 -3.04 0.10
281 -2.7443 -0.3200 0 0.0000 8.985 8.91 1.24 3.14 -3.04 0.10
282 -2.7986 -0.3190 0 0.0000 8.985 8.91 1.24 3.14 -3.04 0.10
283 -2.8250 -0.3181 0 0.0000 8.985 8.91 1.24 3.14 -3.04 0.10
284 -2.8454 -0.3082 0 0.0000 8.985 8.91 1.24 3.14 -3.04 0.10
285 -2.8417 -0.3189 0 0.0000 8.984 8.91 1.24 3.14 -3.04 0.10
286 -2.8799 -0.3232 0 0.0000 8.984 8.91 1.24 3.14 -3.04 0.10
287 -2.8281 -0.3071 0 0.0000 8.984 8.91 1.24 3.14 -3.04 0.10
288 -2.7274 -0.2795 0 0.0000 8.984 8.91 1.24 3.14 -3.04 0.10
289 -2.7483 -0.2960 0 0.0000 8.984 8.91 1.24 3.14 -3.04 0.10
290 -2.7312 -0.2751 0 0.0000 8.984 8.91 1.24 3.14 -3.04 0.10
291 -2.7081 -0.3018 0 0.0000 8.984 8.91 1.24 3.14 -3.04 0.10
292 -2.7465 -0.3050 0 0.0000 8.984 8.91 1.24 3.14 -3.04 0.10
293 -2.7465 -0.2771 0 0.0000 8.984 8.91 1.24 3.14 -3.04 0.10
294 -2.7765 -0.2991 0 0.0000 8.984 8.91 1.24 3.14 -3.04 0.10
295 -2.7958 -0.3163 0 0.0000 8.984 8.91 1.24 3.14 -3.04 0.10
296 -2.8074 -0.3258 0 0.0000 8.984 8.91 1.24 3.14 -3.04 0.10
297 -2.8320 -0.3318 0 0.0000 8.984 8.91 1.24 3.14 -3.04 0.10
298 -2.8680 -0.3341 0 0.0000 8.984 8.91 1.24 3.14 -3.04 0.10
299 -2.8773 -0.3334 0 0.0000 8.984 8.91 1.24 3.14 -3.04 0.10
